t_s	C_rate	V_V	Control_mode
0	0	3.3526	1
1	1.249769231	3.7189	1
1.717	1.249769231	3.7509	1
2.0441	1.249769231	3.7721	1
3.0441	1.249769231	3.7956	1
4.0442	1.249769231	3.8116	1
5.0442	1.249730769	3.825	1
6.0443	1.249769231	3.837	1
7.0443	1.249730769	3.8481	1
8.0444	1.249769231	3.8586	1
9.0445	1.249769231	3.8685	1
10.0445	1.249730769	3.878	1
11.0446	1.249769231	3.8871	1
12.0446	1.249730769	3.8958	1
13.0437	1.249769231	3.9042	1
14.0437	1.249730769	3.9123	1
15.0438	1.249769231	3.9202	1
16.0439	1.249769231	3.9279	1
17.0439	1.249884615	3.9355	1
18.044	1.249923077	3.9428	1
19.044	1.249884615	3.9497	1
20.0441	1.249923077	3.9566	1
21.0441	1.249884615	3.9632	1
22.0442	1.249923077	3.9697	1
23.0443	1.249923077	3.976	1
24.0443	1.249884615	3.9822	1
25.0444	1.249923077	3.9882	1
26.0444	1.249884615	3.9941	1
27.0445	1.249923077	4	1
28.0445	1.249884615	4.0056	1
29.0446	1.249923077	4.0112	1
30.0447	1.249923077	4.0167	1
31.0437	1.249884615	4.022	1
32.0438	1.249923077	4.0273	1
33.0438	1.249846154	4.0323	1
34.0439	1.249884615	4.0374	1
35.0439	1.249846154	4.0423	1
36.044	1.249884615	4.0473	1
37.0441	1.249846154	4.0521	1
38.0441	1.249846154	4.0568	1
39.0442	1.249884615	4.0614	1
40.0442	1.249846154	4.066	1
41.0443	1.249884615	4.0705	1
42.0443	1.249846154	4.0749	1
43.0444	1.249884615	4.0793	1
44.0445	1.249846154	4.0835	1
45.0445	1.249846154	4.0877	1
46.0446	1.249884615	4.0919	1
47.0446	1.249846154	4.096	1
48.0437	1.249884615	4.1	1
49.0437	1.249884615	4.1039	1
50.0438	1.249923077	4.1079	1
51.0439	1.249884615	4.1117	1
52.0439	1.249884615	4.1154	1
53.044	1.249923077	4.1192	1
54.044	1.249884615	4.1228	1
55.0441	1.249923077	4.1265	1
56.0441	1.249884615	4.1299	1
57.0442	1.249884615	4.1335	1
58.0443	1.249884615	4.1369	1
59.0443	1.249884615	4.1403	1
60.0444	1.249884615	4.1436	1
61.0444	1.249884615	4.1469	1
62.0445	1.249923077	4.1501	1
63.0445	1.249884615	4.1532	1
64.0446	1.249923077	4.1565	1
65.0447	1.249846154	4.1594	1
66.0437	1.249846154	4.1625	1
67.0438	1.249884615	4.1655	1
68.0438	1.249884615	4.1684	1
69.0439	1.249884615	4.1714	1
70.0439	1.249846154	4.174	1
71.044	1.249884615	4.1769	1
72.0441	1.249846154	4.1795	1
73.0441	1.249884615	4.1822	1
74.0442	1.249884615	4.1849	1
75.0442	1.249846154	4.1874	1
76.0443	1.249884615	4.19	1
77.0443	1.249884615	4.1925	1
78.0444	1.249884615	4.1949	1
79.0445	1.249846154	4.1972	1
80.0445	1.249884615	4.1996	1
81.0446	1.249884615	4.2019	1
82.0446	1.249846154	4.204	1
83.0437	1.249884615	4.2062	1
84.0437	1.249846154	4.2083	1
85.0438	1.249884615	4.2104	1
86.0439	1.249846154	4.2123	1
87.0439	1.249884615	4.2143	1
88.044	1.249884615	4.2162	1
89.044	1.249846154	4.218	1
90.0441	1.249884615	4.2199	1
91.0442	1.249846154	4.2214	1
92.0442	1.249884615	4.2233	1
93.0443	1.249846154	4.2248	1
94.0443	1.249884615	4.2264	1
95.0444	1.249884615	4.2279	1
96.0444	1.249846154	4.2293	1
97.0445	1.249884615	4.2307	1
98.0446	1.249846154	4.2321	1
99.0446	1.249846154	4.2334	1
